user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Charles Oxford,"Gastonia,NC","Christian, Proud Conservative who loves the America I have know all my life until Obama and Democrats tried to destroy it. #Trump Supporter #MAGA",2008-05-16 16:06:46,1776,1920,2361,False,2020-08-01 16:52:21,CA Governor Newsom will put in prison for going to church or not wearing a mask but if you are a murderer have no f… https://t.co/h4GGOsmFHJ,,Twitter Web App,False
Todd J Zola,"wilmington,nc","Entertainer/Influencer
https://t.co/hv4X46EP40",2009-09-07 21:54:11,493,173,3699,False,2020-08-01 16:38:08,They can do tests at people's jobs &amp; homes etc. Just to find out who has it who doesn't? Therefore we all can get b… https://t.co/RJr5Kqgb9b,,Twitter for Android,False
Todd J Zola,"wilmington,nc","Entertainer/Influencer
https://t.co/hv4X46EP40",2009-09-07 21:54:11,493,173,3699,False,2020-08-01 16:34:44,How come we we don't test people in NC or in fact every state. To find out who has #COVID19 and who doesn't? Theref… https://t.co/VttkGVkmme,['COVID19'],Twitter for Android,False
McNibbles,MA,"Former Democrat, now #IFBP. Seeking answers to age-old questions, first... what's for dinner?",2010-12-13 14:02:05,2574,2806,39112,False,2020-08-01 16:32:34,"@summerbreeze712 @reallygraceful @YouTube Great video! @reallygraceful is quality content.
#COVID19 #ContactTracing","['COVID19', 'ContactTracing']",Twitter for iPhone,False
Randall Judt,DC,@usarmy Veteran. An international man of mystery and random wiki facts. Comments are my own.,2009-04-01 00:19:04,519,1168,101187,False,2020-08-01 16:24:32,Coming up next at 12:30 PM EDT is the FA Cup Final. Chelsea and Arsenal face off behind closed doors at Wembley to… https://t.co/zIMnEuqJwI,,Twitter for iPhone,False
Brett's🙏Living.His.Story,AZ,#GoPackGo #KindnessMatters #TogetherWeRise🌤 #ElevateToExcellence🏅 #FaithOverFear🙏 #BeKind❤,2019-05-22 17:43:10,1978,1919,9877,False,2020-08-01 16:20:48,"How can there be tackle football #NFL with a pandemic #COVID19 and a solution #SocialDistancing all together,  and… https://t.co/D68emzKshw","['NFL', 'COVID19', 'SocialDistancing']",Twitter for Android,False
#MAGA ♥B♥B♥ ♓ #44K,"Lauderdale,MS",#GlobalismisDEAD @Hiqutipie #MAGA #KAG #Mississippi,2014-01-15 13:53:16,43725,41355,1350,False,2020-08-01 16:08:12,"@ksorbs @theblaze if #Hydroxycholoroquine isn't the answer 
@stella_immanue
@drsimonegold
@realDonaldTrump 
what is… https://t.co/sWjIlUD4Mq",['Hydroxycholoroquine'],Twitter Web App,False
Brett's🙏Living.His.Story,AZ,#GoPackGo #KindnessMatters #TogetherWeRise🌤 #ElevateToExcellence🏅 #FaithOverFear🙏 #BeKind❤,2019-05-22 17:43:10,1978,1919,9877,False,2020-08-01 16:06:12,"If sports #NBA #MLB is suppose to be such a repreave from life #COVID19 as we know it? Why then, is all the politic… https://t.co/D4sQp0j1im","['NBA', 'MLB', 'COVID19']",Twitter for Android,False
Ronnie Spangler,Tn,"Marine Corps, Vietnam Veteran, President Trump Supporter #Trump2020 #MAGA",2009-07-02 23:21:23,6738,6830,6843,False,2020-08-01 15:59:43,Also don't send #COVID19 patients to nursing homes where seniors will become infected. https://t.co/0s0cYrkpq8,['COVID19'],Twitter for Android,False
Ed Menendez,WA,"TV Academy member, LearnWPT investor, fantasy sports game creator. Going thru travel withdrawal. #AntiFascist #BlackLivesMatter",2007-11-08 20:09:48,558,1313,1532,False,2020-08-01 15:54:42,Trump won't make everyone wear a mask. But he will make everyone uninstall TikTok. #COVID19 #RepublicansAgainstTrump,"['COVID19', 'RepublicansAgainstTrump']",Twitter Web App,False
Kathy,"Winston-Salem,NC",Carolina Fan !Fan of Jennifer Aniston,2009-01-20 15:54:29,60,14,32378,False,2020-08-02 21:28:15,"#TrumpVirus #TrumpVirusDeathToll156K CORRECT real name @realDonaldTrump!Not #coronavirus or #COVID19 You,@VP,… https://t.co/0RGaF8aeZ6","['TrumpVirus', 'TrumpVirusDeathToll156K', 'coronavirus', 'COVID19']",Twitter Web App,False
Gail Fine,NJ,,2010-03-08 00:23:34,76,172,4638,False,2020-08-02 21:12:17,When will the pandemic end? My colleagues at Medidata have put together an infographic that charts out a timeline f… https://t.co/eOkbt2TKYa,,Powered by Sprinklr,False
photoframd,NY,"just a photoframd world of photoshop, photography, Canon R5 & 7D2 DLSRs, Android and NYC life. More on my blog ;)",2009-01-14 19:39:12,15139,15153,5581,False,2020-08-02 21:01:25,Chicago Tribune: Dr. Deborah Birx says US in a 'new phase' of COVID-19 pandemic. #TrumpVirusCatastrophe… https://t.co/S8XBb5QoPl,['TrumpVirusCatastrophe'],Twitter for Android,False
T^2,MD,,2010-11-18 03:27:12,2,80,118,False,2020-08-02 20:42:25,"@RichardGrenell Once upon a time, you might have expected to see a similar scene in the USA. No more perhaps. Sad.… https://t.co/Vx4XYmnleL",,Twitter Web App,False
Oskar Rodriguez,"Los Angeles,CA",Actor/Artist/Creator  https://t.co/QHhgibopl2  IG:@oskarrodriguez,2009-04-21 21:13:35,3239,539,855,False,2020-08-02 20:39:08,It’s absolutely INSANE how @SpiritAirlines decided to PACK this plane to the MAX in the middle of a pandemic.… https://t.co/sAGsk8z258,,Twitter for iPhone,False
Ilya,DC,Adventurer and foreign affairs enthusiast in the health security arena. On the hunt for answers.,2015-11-17 00:00:01,10,293,44,False,2020-08-02 20:27:05,"Well, if the @MLB season ends tomorrow, at least the @Orioles finish with a winning record. On the other hand, base… https://t.co/L6c9yyvTAy",,Twitter for Android,False
Sagar,DC,"NYC, music, photography, etc..",2009-08-02 00:28:53,112,26,94,False,2020-08-02 20:14:28,"'Picking Up At a Dangerous Pace': 1.9 Million New Covid Cases in US in July
""A grim sign America lost its grip.""..#USA..#Covid19..#GOP..","['USA', 'Covid19', 'GOP']",Hootsuite Inc.,False
🍊🤡 is #NotMyPresident 🇵🇷🌊✈️,NC,There’s nothing more important than to do everything we can to #ImpeachTrump. #MAGAts will be blocked. #FreeLeonardPeltier,2009-11-08 03:47:45,1018,2701,4217,False,2020-08-02 19:49:29,"#GOPocrisy: “YOU send YOUR kids to get #COVID19 @ school &amp; infect/kill everyone @ home. Meanwhile, I’ll stay safe a… https://t.co/2F9NBLjqkt","['GOPocrisy', 'COVID19']",Twitter for iPhone,False
🦋 Rosalyn,NC,"Poet, ""Collisions on a Non-existent Highway"" available on Amazon. #Bones lover. #Biden2020. #VoteBlue",2009-03-19 19:00:36,1764,1838,149987,False,2020-08-02 19:31:22,@rlawson330 @Scaramucci Every day we have over 1000 more deaths from #Covid19 and there is no national testing plan… https://t.co/hQHP38ckpd,['Covid19'],Twitter Web App,False
"Carlo ""Crow"" Fiorletta",NJ,"Actor Director Producer Teacher Coach . County comm. local district 3 Ocean County 4.  DETOURS film https://t.co/RBpN3xKLD8
President GIAA. Liberal",2009-03-09 21:32:56,2128,4000,31641,False,2020-08-02 19:17:51,"@KwikWarren I think 45 contracted #COVID19,
 the #COVIDIOT","['COVID19', 'COVIDIOT']",Twitter Web App,False
Sagar,DC,"NYC, music, photography, etc..",2009-08-02 00:28:53,112,26,94,False,2020-08-02 19:13:14,Nancy Pelosi says she has no confidence in Deborah #Birx over handling of pandemic..#GOP..#Covid19  https://t.co/m4Wx9azPOC,"['Birx', 'GOP', 'Covid19']",Hootsuite Inc.,False
Amanda Fernandez Rockwell,NY,"Account Manager @w2ogroup, @wustl alum #miami #CostaRica 🇨🇷🚩  Views are my own RT/= endorsement",2016-06-06 18:22:45,146,1948,2437,False,2020-08-02 18:58:40,"On @TabForACause, we just supplied 100 rainforest families via @coolearth just by opening tabs. #COVID19… https://t.co/LmtwyhxRSV",['COVID19'],Twitter Web App,False
Dunwin,AZ,"Tenacious competitor | Twitcher | Youtuber | Golfer | Mountain Biker |  Fantasyfootballer ||

5x Champion of Redneck Redzone. #threepeat2020",2016-01-29 21:48:07,93,144,643,False,2020-08-02 18:51:47,"A little bit of normal in crazy times.

#sports #howlyeah #nashville #arizona #pga #wgc #golf #nhl #hockey… https://t.co/csrEQOQ5oi","['sports', 'howlyeah', 'nashville', 'arizona', 'pga', 'wgc', 'golf', 'nhl', 'hockey']",Twitter for Android,False
Adam Ullian,"Brooklyn,NY",Boston Native / NYC Council / Comedy Retweeter/ Sports fan,2012-07-07 01:45:17,1271,1319,1114,False,2020-08-02 18:36:01,Seeing a lot of #charity events for at-risk communities where there is limited mask wearing or #SocialDistancing. D… https://t.co/fparM9bz6j,"['charity', 'SocialDistancing']",Twitter for Android,False
🦋 Rosalyn,NC,"Poet, ""Collisions on a Non-existent Highway"" available on Amazon. #Bones lover. #Biden2020. #VoteBlue",2009-03-19 19:00:36,1764,1838,149987,False,2020-08-02 18:35:31,@Norrienon @andybowen2009 @NeilClark66 Masks are how Hong Kong and S. Korea got control of the #COVID19 virus.,['COVID19'],Twitter Web App,False
Elijah Ngabo,DC,It is What It Is,2018-02-26 08:12:56,161,355,461,False,2020-08-02 18:06:42,.@ntvuganda is brainwashing us with a misleading headnote and takes everything out of context. THIS IS NOT A COMMS… https://t.co/qNnZzhlvPR,,Twitter for iPhone,False
Sagar,DC,"NYC, music, photography, etc..",2009-08-02 00:28:53,113,26,94,False,2020-08-04 06:14:39,"Workers Blow the Whistle on Mass Death
Private equity firms have imposed austerity measures on the hospitals they a… https://t.co/YFQMyEpK3P",,Hootsuite Inc.,False
uri zisser,IL,,2009-06-23 20:43:17,33,69,27,False,2020-08-04 06:05:07,The race to #5G is understandably tempered for now but the story’s far from over. Angela Logothetis examines how… https://t.co/EFQEHkPfnA,['5G'],Oktopost,False
